Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Vitreous China,  White,  Washout Urinal,  Wall,  Top",AMERICAN STANDARD,"Product Categories/Plumbing/Toilets, Urinals & Repair Parts/Urinals",15W678,30181506,201.44,https://www.grainger.com/product/AMERICAN-STANDARD-Washout-Urinal-15W678,Washout Urinal,Washout Urinal,American Standard Washbrook FloWise(R),Wall,"6045013.002, 6045051.002, 6045101.002, 6063013.002, 6063051.002, 6063101.002","0.1, 0.125, 0.5",Washout,,Not Included,Vitreous China,White,Top,3/4 in,No,Yes,Plumbing
"Pressure Assist Flushing System,  Fits Brand Zurn,  For Use With Zurn Pressure Assist Toilets",ZURN,"Product Categories/Plumbing/Toilets, Urinals & Repair Parts/Toilet Repair Parts & Accessories/Pressure-Assist Tank Repair Parts",29RU04,40141609,152.49,https://www.grainger.com/product/ZURN-Pressure-Assist-Flushing-System-29RU04,Pressure Assist Flushing System,,,,,,,,,,,,,,,Plumbing
"Full Circle Repair Clamp, 12 in Pipe Size, Fits Outside Dia. 13.10 in to 13.50 in",SMITH-BLAIR,"Product Categories/Plumbing/Pipe, Tubing and Fittings/Pipe Repair, Clamps and Couplings/Pipe Repair Clamps",5LGL5,40142322,303.61,https://www.grainger.com/product/SMITH-BLAIR-Repair-Clamp-5LGL5,Repair Clamp,,,,,,,,,,,,,,,Plumbing
"American Standard,  Handheld, Wall Mounted,  Showerhead Kit,  Polished Chrome",AMERICAN STANDARD,Product Categories/Plumbing/Plumbing Replacement Parts/Plumbing Parts,55DM45,40141703,281.81,https://www.grainger.com/product/AMERICAN-STANDARD-Comm-Shower-Sys-Kit-55DM45,Showerhead Kit,,,,,,,,,,,,,,Yes,Plumbing
"Vitreous China,  White,  Siphon Jet Urinal & Automatic Flush Valve,  Wall,  Top",ZURN,"Product Categories/Plumbing/Toilets, Urinals & Repair Parts/Urinals",6RKH3,30181506,800.21,https://www.grainger.com/product/ZURN-Siphon-Jet-Urinal-Automatic-6RKH3,Siphon Jet Urinal & Automatic Flush Valve,Siphon Jet Urinal with Automatic Flush Valve,Zurn,Wall,ZER6003AV-ULF+AA17,0.125,Siphon Jet,Automatic,Sensor,Vitreous China,White,Top,3/4 in,Yes,Yes,Plumbing
"3/4 in Y Strainer, Threaded, 20 Mesh, 3 15/16 in Length, Bronze",KECKLEY,Product Categories/Plumbing/Filtration/Y Strainers,45AM18,40142501,34.02,https://www.grainger.com/product/KECKLEY-Y-Strainer-45AM18,Y Strainer,,,,,,,,,,,,,,,Plumbing
"Chrome,  Angled Straight,  Bathroom Sink Faucet,  Manual Faucet Activation,  0.5 gpm",BESTCARE,Product Categories/Plumbing/Faucets/Bathroom Faucets/Two-Hole Centerset Deck-Mount Bathroom Faucets/Dual-Metering-Handle Two-Hole Centerset Deck-Mount Bathroom Faucets,55AF75,40141702,833.08,https://www.grainger.com/product/BESTCARE-Bathroom-Faucet-55AF75,Bathroom Faucet,,,,,,,,,,,,,,Yes,Plumbing
