Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Kit,Intercooler w/Fittings,R15",SPEEDAIRE,Product Categories/Pneumatics/Pneumatic Equipment Replacement Parts/Pneumatic Equipment Parts,26DR68,0,135.86,https://www.grainger.com/product/SPEEDAIRE-Kit-26DR68,"Kit,Intercooler w/Fittings,R15",,,,,,,,,,,,,,,Pneumatics
Housing for Model 51411,DYNABRADE,Product Categories/Pneumatics/Pneumatic Equipment Replacement Parts/Pneumatic Equipment Parts,22HD75,0,165.76,https://www.grainger.com/product/DYNABRADE-Housing-for-Model-51411-22HD75,Housing for Model 51411,,,,,,,,,,,,,,,Pneumatics
Stacking Gasket,ARO,Product Categories/Pneumatics/Pneumatic Equipment Replacement Parts/Pneumatic Equipment Parts,26DJ30,0,10.75,https://www.grainger.com/product/ARO-Stacking-Gasket-26DJ30,Stacking Gasket,,,,,,,,,,,,,,,Pneumatics
Mtl.Bowl W/O-Ring/Sight Gauge and Drain,WILKERSON,Product Categories/Pneumatics/Pneumatic Equipment Replacement Parts/Pneumatic Equipment Parts,44C831,0,141.69,https://www.grainger.com/product/WILKERSON-Mtl-Bowl-W-O-Ring-Sight-Gauge-44C831,Mtl.Bowl W/O-Ring/Sight Gauge and Drain,,,,,,,,,,,,,,,Pneumatics
Wire,SPEEDAIRE,Product Categories/Pneumatics/Pneumatic Equipment Replacement Parts/Pneumatic Equipment Parts,454Z04,0,8.86,https://www.grainger.com/product/SPEEDAIRE-Wire-454Z04,Wire,,,,,,,,,,,,,,,Pneumatics
"Housing for Model 53511,20,000 RPM",DYNABRADE,Product Categories/Pneumatics/Pneumatic Equipment Replacement Parts/Pneumatic Equipment Parts,22GZ43,0,202.28,https://www.grainger.com/product/DYNABRADE-Housing-for-Model-53511-22GZ43,"Housing for Model 53511,20,000 RPM",,,,,,,,,,,,,,,Pneumatics
Sanding Pad,SPEEDAIRE,Product Categories/Pneumatics/Pneumatic Equipment Replacement Parts/Pneumatic Equipment Parts,29JR51,0,17.69,https://www.grainger.com/product/SPEEDAIRE-Sanding-Pad-29JR51,Sanding Pad,,,,,,,,,,,,,,,Pneumatics
Bolt and Gasket Kit,MI-T-M,Product Categories/Pneumatics/Pneumatic Equipment Replacement Parts/Pneumatic Equipment Parts,25GG95,0,7.18,https://www.grainger.com/product/MI-T-M-Bolt-and-Gasket-Kit-25GG95,Bolt and Gasket Kit,,,,,,,,,,,,,,,Pneumatics
