Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
Sentinel Arm Chair Floor Mount Indigo,SENTINEL,"Product Categories/Furniture, Hospitality and Food Service/Furniture/Indoor Furnishings/Correctional Facility Furniture",783EU2,56112106,324.71,https://www.grainger.com/product/SENTINEL-Sentinel-Arm-Chair-Floor-Mount-783EU2,Sentinel Arm Chair Floor Mount Indigo,,,,,,,,,,Blue,,,,,"Furniture, Hospitality and Food Service"
"Cap, Black,  Fits Brand Hobart",HOBART,"Product Categories/Furniture, Hospitality and Food Service/Furniture, Hospitality & Food Service Equipment Replacement Parts/Furniture, Hospitality & Food Service Equipment Parts",235A37,0,13.3,https://www.grainger.com/product/HOBART-Cap-235A37,"Cap, Black",,,,,,,,,,,,,,,"Furniture, Hospitality and Food Service"
Stainless Steel Tong,CRESTWARE,"Product Categories/Furniture, Hospitality and Food Service/Food Service and Food Processing/Food Service Cookware and Preparation/Prep and Hold Utensils",45GK99,52151611,1.27,https://www.grainger.com/product/CRESTWARE-Tong-45GK99,Tong,,,,,,,,,,Stainless Steel,,,,,"Furniture, Hospitality and Food Service"
"Dowel,  Fits Brand Hobart,  2612, 2712, 2812, 2912, 8186, 84186",HOBART,"Product Categories/Furniture, Hospitality and Food Service/Furniture, Hospitality & Food Service Equipment Replacement Parts/Furniture, Hospitality & Food Service Equipment Parts",235D51,0,4.85,https://www.grainger.com/product/HOBART-Dowel-235D51,Dowel,,,,,,,,,,,,,,,"Furniture, Hospitality and Food Service"
Door Handle,ELECTROLUX,"Product Categories/Furniture, Hospitality and Food Service/Furniture, Hospitality & Food Service Equipment Replacement Parts/Furniture, Hospitality & Food Service Equipment Parts",34MC69,0,110.0,https://www.grainger.com/product/ELECTROLUX-Door-Handle-34MC69,Door Handle,,,,,,,,,,,,,,,"Furniture, Hospitality and Food Service"
"Hanger Pin with Head,  Fits Brand APW Wyott,  HDX-1, HDX-2, HDX-3, HDX-4, M-83, M2000-JIB",APW WYOTT,"Product Categories/Furniture, Hospitality and Food Service/Furniture, Hospitality & Food Service Equipment Replacement Parts/Furniture, Hospitality & Food Service Equipment Parts",21VY78,48101510,23.49,https://www.grainger.com/product/APW-WYOTT-Hanger-Pin-with-Head-21VY78,Hanger Pin with Head,,,,,,,,,,,,,,,"Furniture, Hospitality and Food Service"
Stainless Steel Bouillon Spoon with Belinda Pattern; PK36,CRESTWARE,"Product Categories/Furniture, Hospitality and Food Service/Food Service and Food Processing/Food Service Tableware, Bar, and Buffet/Flatware",55RP78,52151704,23.79,https://www.grainger.com/product/CRESTWARE-Bouillon-Spoon-55RP78,Bouillon Spoon,,,,,,,,,,,,,,,"Furniture, Hospitality and Food Service"
