Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Sanitizer,  5 gal Container Size,  Bucket Container Type,  Pungent Fragrance,  Liquid Cleaner Form",ZEP,Product Categories/Cleaning and Janitorial/Cleaning Chemicals/Surface Disinfectants & Sanitizers,54ZP50,47131805,324.47,https://www.grainger.com/product/ZEP-Sanitizer-54ZP50,Sanitizer,,,,,,,,,,,,,,,Cleaning and Janitorial
"Upright Vacuum Brush Roll,  For Vacuum Type Upright Vacuum",SANITAIRE,"Product Categories/Cleaning and Janitorial/Floor Cleaning Machines/Vacuum Cleaners & Accessories/Vacuum Accessories, Attachments & Parts/Vacuum Replacement Parts & Accessories",1AFY9,47121607,25.2,https://www.grainger.com/product/SANITAIRE-Upright-Vac-Brush-Roll-1AFY9,Upright Vacuum Brush Roll,,,,,,,,,,,,,,,Cleaning and Janitorial
Front Squeegee Blade,TENNANT,"Product Categories/Cleaning and Janitorial/Floor Cleaning Machines/Floor Polishers, Burnishers, Scrubbers, and Accessories/Floor Machine Accessories",55HD11,47121803,122.78,https://www.grainger.com/product/TENNANT-Front-Squeegee-Blade-55HD11,Front Squeegee Blade,,,,,,,,,,,,,,,Cleaning and Janitorial
"Trash Can,  35 gal,  Stationary,  Square,  Plastic,  Sable",RUBBERMAID COMMERCIAL PRODUCTS,"Product Categories/Cleaning and Janitorial/Waste, Recycling & Trash Supplies/Trash & Recycling Containers & Accessories/Trash Cans/Decorative Outdoor Trash Cans",4KRE1,47121702,1080.73,https://www.grainger.com/product/RUBBERMAID-COMMERCIAL-PRODUCTS-Trash-Can-4KRE1,,,,,,,,,,,Sable,,,,,Cleaning and Janitorial
