Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Chemical Hose Assembly,  Cross-Linked Polyethylene,  Helix,  2 in,  10 ft,  200 psi",CONTINENTAL,"Product Categories/Pipe, Hose, Tube & Fittings/Hose Products/Hose/Chemical Hoses/Chemical Hose Assemblies",55AZ89,40142007,451.79,https://www.grainger.com/product/CONTINENTAL-Chemical-Hose-Assembly-55AZ89,Chemical Hose Assembly,,,,,,,,,,,,,,,"Pipe, Hose, Tube & Fittings"
"Interlocked Metal Hose,  Hose Tube Material 304 Stainless Steel",HOSE MASTER,"Product Categories/Pipe, Hose, Tube & Fittings/Hose Products/Hose/Metal Hoses/Interlocked Metal Hoses",16T782,40142007,563.46,https://www.grainger.com/product/HOSE-MASTER-Metal-Hose-16T782,Interlocked Metal Hose,,,,,,,,,,,,,,,"Pipe, Hose, Tube & Fittings"
"Chemical Hose Assembly,  Polyethylene,  Helix,  1 in,  20 ft,  200 psi",CONTINENTAL,"Product Categories/Pipe, Hose, Tube & Fittings/Hose Products/Hose/Chemical Hoses/Chemical Hose Assemblies",55CA73,40142007,612.64,https://www.grainger.com/product/CONTINENTAL-Chemical-Hose-Assembly-55CA73,Chemical Hose Assembly,,,,,,,,,,,,,,,"Pipe, Hose, Tube & Fittings"
"Water Suction and Discharge Hose,  3 in,  25 ft,  Aluminum x Aluminum Fitting Material,  45 psi",CONTINENTAL,"Product Categories/Pipe, Hose, Tube & Fittings/Hose Products/Hose/Water Hoses/Water Hoses for Suction & Discharge/Water Suction & Discharge Hoses",1ZMY9,40142007,469.7,https://www.grainger.com/product/CONTINENTAL-Water-Hose-Assembly-1ZMY9,Water Suction and Discharge Hose,,,,,,,,,,,,,,,"Pipe, Hose, Tube & Fittings"
"Hydraulic Crimp Fitting,  Fitting Material Steel x Steel,  Fitting Size 2 in x 2 in",EATON WEATHERHEAD,"Product Categories/Pipe, Hose, Tube & Fittings/Hose Products/Hose Fittings & Couplings/Hydraulic Hose Fittings & Couplings/Hydraulic Hose Fittings/Crimp Hydraulic Hose Fittings/Crimp Hydraulic Hose Fittings with NPTF Connection",20JX11,40141734,199.75,https://www.grainger.com/product/EATON-WEATHERHEAD-Crimp-Fitting-20JX11,Hydraulic Crimp Fitting,,,,,,,,,,,,,,,"Pipe, Hose, Tube & Fittings"
"Hydraulic Hose Adapter,  Fitting Material Carbon Steel x Carbon Steel,  Fitting Size 3/8 in x 1/4 in",EATON AEROQUIP,"Product Categories/Pipe, Hose, Tube & Fittings/Hose Products/Hose Fittings & Couplings/Hydraulic Hose Fittings & Couplings/Hydraulic Hose Adapters/Steel Hydraulic Hose Adapters",2F321,40141734,7.79,https://www.grainger.com/product/EATON-AEROQUIP-Hose-Adapter-2F321,Hydraulic Hose Adapter,,,,,,,,,,,,,,,"Pipe, Hose, Tube & Fittings"
"Barbed Hose Fitting,  Fitting Material Brass x Brass,  Fitting Size 1/4 in x 1/8 in",GRAINGER APPROVED,"Product Categories/Pipe, Hose, Tube & Fittings/Hose Products/Hose Fittings & Couplings/Multipurpose Hose Fittings & Couplings/Multipurpose Barbed Hose Fittings/Multipurpose Rigid Barbed Hose Fittings & Menders",6AFH3,40141734,0.99,https://www.grainger.com/product/GRAINGER-APPROVED-Barbed-Hose-Fitting-6AFH3,Barbed Hose Fitting,,,,,,,,,,,,,,,"Pipe, Hose, Tube & Fittings"
