Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Aluminum Aluminum Rectangle Tube, Alloy Type 6061",GRAINGER APPROVED,Product Categories/Raw Materials/Aluminum/Aluminum Rectangular Tube Stock,786JM1,0,104.72,https://www.grainger.com/product/GRAINGER-APPROVED-Aluminum-Rectangle-Tube-6061-786JM1,Aluminum Rectangle Tube,,,,,,,,,,,,,,,Raw Materials
"316,  Stainless Steel,  Rod Stock,  Diameter 1 3/16 in,  Length 6 ft",GRAINGER APPROVED,Product Categories/Raw Materials/Stainless Steel/Stainless Steel Rod Stock,61RF10,0,161.57,https://www.grainger.com/product/GRAINGER-APPROVED-Rod-Stock-61RF10,Rod Stock,,,,,,,,,,,,,,,Raw Materials
"Corrosion Resistant 7075 Aluminum Aluminum Round Bar 7075, 4 in Dia. X 1/2 in L, Unpolished Finish",GRAINGER APPROVED,Product Categories/Raw Materials/Aluminum/Aluminum Rod Stock,785XE3,0,9.52,https://www.grainger.com/product/GRAINGER-APPROVED-Aluminum-Round-Bar-7075-785XE3,Aluminum Round Bar 7075,,,,,,,,,,,,,,,Raw Materials
"High Strength Excellent Corrosion Resistance,  316,  Stainless Steel,  Thickness 1.5 in,  Width 3 in",GRAINGER APPROVED,"Product Categories/Raw Materials/Stainless Steel/Stainless Steel Blanks, Flats, Bars, Plates, and Sheet Stock",783A48,0,176.0,https://www.grainger.com/product/GRAINGER-APPROVED-High-Strength-Corrosion-Resistance-783A48,High Strength Excellent Corrosion Resistance,,,,,,,,,,,,,,,Raw Materials
"Flat Stock, Steel, 1/8"" Thick, 36"" L, 8"" W",GRAINGER APPROVED,Product Categories/Raw Materials/Tool Steel/Flat Stock,786PH9,0,238.48,https://www.grainger.com/product/GRAINGER-APPROVED-Flat-Stock-786PH9,Tool Steel Flat Stock,,,,,,,,,,,,,,,Raw Materials
"Fiberglass Fabric, 0.014 in. Thick, 1 in.W",MJ MAY,Product Categories/Raw Materials/Fabric/Fiberglass Fabric,48YY72,11162105,164.16,https://www.grainger.com/product/MJ-MAY-Fiberglass-Fabric-48YY72,Fiberglass Fabric,,,,,,,,,,Tan,,,,,Raw Materials
"Fiberglass Fabric, 18 ft. L, 15 in W",MJ MAY,Product Categories/Raw Materials/Fabric/Fiberglass Fabric,48YT95,11162105,91.49,https://www.grainger.com/product/MJ-MAY-Fiberglass-Fabric-48YT95,Fiberglass Fabric,,,,,,,,,,Tan,,,,,Raw Materials
