Description,Brand,Category,SKU,Item Number,Price,URL,Spec: Item,Spec: Urinal Product Type,Spec: Brand and Series,Spec: Urinal Mounting Style,Spec: Tank/Flush Valve Mfr. Model Number,Spec: Gallons per Flush,Spec: Flushing Method,Spec: Flush Valve Type Included,Spec: Flush Handle,Spec: Urinal Material,Spec: Color,Spec: Spud Location,Spec: Spud Connection Size,Spec: Includes Flush Valve Cover,Spec: ADA Compliance,Main_Category
"Ballpoint Pens,  Pen Tip 0.7 mm,  Barrel Material Plastic,  Barrel Color Blue,  Pen Grip None",ABILITY ONE,Product Categories/Office Supplies/Writing & Correction/Pens & Ink Refills/Standard Pens/Ballpoint Pens,38YV38,44121704,11.96,https://www.grainger.com/product/ABILITY-ONE-Ballpoint-Pens-38YV38,Ballpoint Pens,,,,,,,,,,,,,,,Office Supplies
Fuser Assembly,DEPOT INTERNATIONAL,Product Categories/Office Supplies/Office Equipment Replacement Parts/Office Equipment Parts,42KX37,0,336.68,https://www.grainger.com/product/DEPOT-INTERNATIONAL-Fuser-Assembly-42KX37,Fuser Assembly,,,,,,,,,,,,,,,Office Supplies
"Standard Mechanical Pencil Refills,  Point Size 0.7 mm,  Lead Color Standard,  Lead Type H,  PK 12",PENTEL,"Product Categories/Office Supplies/Writing & Correction/Pencils, Mechanical Pencil Refills, Pencil Sharpeners & Pencil Erasers/Mechanical Pencil Refills",35X979,44121902,1.58,https://www.grainger.com/product/PENTEL-Lead-Refills-35X979,Standard Mechanical Pencil Refills,,,,,,,,,,,,,,,Office Supplies
"Ballpoint Pens,  Pen Tip 0.7 mm,  Barrel Material Plastic,  Barrel Color Smoked Black",ABILITY ONE,Product Categories/Office Supplies/Writing & Correction/Pens & Ink Refills/Standard Pens/Ballpoint Pens,52RW55,44121704,18.28,https://www.grainger.com/product/ABILITY-ONE-Ballpoint-Pens-52RW55,Ballpoint Pens,,,,,,,,,,,,,,,Office Supplies
"Dry Erase Marker Set,  Chisel,  Marker Cap Capped,  Barrel Type Original,  Number of Markers 4",EXPO,Product Categories/Office Supplies/Writing & Correction/Wet- & Dry-Erase Markers/Standard Wet- & Dry-Erase Markers,1JU97,44121708,10.5,https://www.grainger.com/product/EXPO-Dry-Erase-Marker-Set-1JU97,Dry Erase Marker Set,,,,,,,,,,,,,,,Office Supplies
